Land-ID,Version,Flagge,Name,Generieren,ShapeId,Hinweistext,Tmp 1,Tmp 2,Signatur,Clustergröße,Rechtwinklig?,Rahmen?,Gösch?,Dreieck von links?,Die Dreiecksform(en) bestehen aus wie vielen Farben?,Hintergrundtyp,W-Streifen,3W,5W,S-Streifen,S-Anordnung,Kreuzausrichtung,Kreuzarme,Diagonal Richtung,Diagonal Anzahl Streifen,SW Streifen,Spezial,Hintergrundfarben,E1,E1 Position,E1 Farbe,E1 Anzahl,E2,E2 Position,E2 Farbe,E2 Anzahl,E3,E3 Position,E3 Farbe,E3 Anzahl,E4,E4 Position,E4 Farbe,E4 Anzahl,Gösch Farbe,Dreieck Farbe,Emblem,,
1,,,Abchasien,1,middle|3434|951,,,,1|0|1|0|x|0|7|x|x|x|x|x|x|x|x|x|x,1,1,0,1,0,x,0,7,x,x,x,x,x,x,x,x,x,x,Grün|Weiß|Grün|Weiß|Grün|Weiß|Grün,Hand,0,Weiß,x,Stern,0,Weiß,7,x,x,x,x,x,x,x,x,Rot,x,,,
2,,,Afghanistan,1,,,,,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,Schwarz|Rot|Grün,Emblem,4,&Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Betnische| Moschee| Ährenkranz| Kanzel| Gebetsnische| Schahada| Name des Landes| Jahreszahl| Sonnenstrahlen,,
2,2,,Afghanistan,1,,International nicht anerkannte Flagge seit 2021,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,23,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Weiß,Schrift,4,Schwarz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
3,,,Ägypten,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Rot|Weiß|Schwarz,Vogel (Emblem),4,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Einköpfiger Wappenadler,,
4,,,Albanien,1,,,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,23,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Rot,Vogel (Emblem),4,Schwarz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Zweiköpfiger Wappenadler,,
5,,,Algerien,1,,,,,1|0|0|0|x|1|x|x|x|2|0|x|x|x|x|x|x,2,1,0,0,0,x,1,x,x,x,2,0,x,x,x,x,x,x,Grün|Weiß,Mond,4,Rot,x,Stern,4,Rot,1,x,x,x,x,x,x,x,x,x,x,,,
6,,,Andorra,1,small|2853|967,,,,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,Blau|Gelb|Rot,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Mitra|Hirtenstab|Kühe,Mittlerer Streifen etwas breiter,Eine von 2 Flaggen mit Kühen (Moldovia)
7,,,Angola,1,,,,,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,12,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,Rot|Schwarz,Machete,4,Gelb,x,Stern,4,Gelb,1,Zahnrad,4,Gelb,x,x,x,x,x,x,x,,,
8,,,Antigua und Barbuda,1,small|1803|1469,,,,1|0|0|0|x|7|x|x|x|x|x|x|x|x|x|x|0,1,1,0,0,0,x,7,x,x,x,x,x,x,x,x,x,x,0,Schwarz|Hellblau (Blau)|Weiß|Rot|Rot,Sonne,1,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Es gab einen Wettbewerb,
9,,,Äquatorialguinea,1,,,,,1|0|0|1|1|0|3|0|x|x|x|x|x|x|x|x|x,6,1,0,0,1,1,0,3,0,x,x,x,x,x,x,x,x,x,Grün|Weiß|Rot,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Hellblau (Blau),Unidad Paz Justicia|Sterne|Seidenwollbaum|Schild|,,
